genes,cmp,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pass_filter,direction
AT5G01075,M1_A1,8.93144321151451,0.10717468785087,0.290931881873652,0.0835105657818627,0.933445576460862,0.995710099481803,1,Up
AT5G01080,M1_A1,0.0252486505108157,-0.0056796489086346,0.0805153409099198,0.113815113779115,0.909384357386052,0.995710099481803,1,Down
AT5G01090,M1_A1,44.4147973657482,-0.0275232129945554,0.285490197234474,-0.00537661887159865,0.995710099481803,0.995710099481803,1,Down
AT5G01100,M1_A1,257.213373689422,-0.00391250065403876,0.291554666622931,-0.712113677283253,0.476394385419018,0.995710099481803,1,Down
AT5G01110,M1_A1,7.19459689406977,0.0541681076797206,0.267843705750923,0.0585594077942167,0.953303043055695,0.995710099481803,1,Up
AT5G01120,M1_A1,0.364040221091897,0.00605862098405482,0.0815559338777824,0.0704035576678725,0.943872459667772,0.995710099481803,1,Up
AT5G01130,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT5G01140,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT5G01150,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
AT5G01160,M1_A1,102.444920157222,-0.35457108311683,0.267669762649009,-0.765018595739239,0.444260471493952,0.995710099481803,1,Down
ATCG00020,M1_A1,1704.29761096099,0.413297080882368,0.290212114749593,2.30304183751163,0.0212764892508732,0.995710099481803,1,Up
ATCG00040,M1_A1,6.78506627380525,0.286909336549619,0.230349858738715,0.539526541953863,0.589523587876668,0.995710099481803,1,Up
ATCG00050,M1_A1,0.137933030947785,0.0488847880134523,0.0809825579209468,0.077452156843824,0.938263850194121,0.995710099481803,1,Up
ATCG00070,M1_A1,7.6852161857211,-0.0130217915609716,0.280564350933687,-0.771170883881827,0.440605649812828,0.995710099481803,1,Down
ATCG00080,M1_A1,12.6297098859665,0.413388059047525,0.2959199881506,0.889144724384219,0.373925305200292,0.995710099481803,1,Up
ATCG00120,M1_A1,72.7110139333098,0.159378624599267,0.291928795176025,0.414024424351615,0.678856219617544,0.995710099481803,1,Up
ATCG00130,M1_A1,31.084790666375,0.34501085536028,0.290664013766903,0.312286561725152,0.754822751933647,0.995710099481803,1,Up
ATCG00140,M1_A1,32.6895616691186,0.227458835004384,0.292186435993105,0.542359094748557,0.587571153099957,0.995710099481803,1,Up
ATCG00150,M1_A1,14.2283392523209,0.251559025853229,0.292393896555883,0.0245311597728094,0.98042892928435,0.995710099481803,1,Up
ATCG00160,M1_A1,2.6466045993974,0.347920545146456,0.223965027361551,0.511397548111731,0.609072711450108,0.995710099481803,1,Up
ATCG00170,M1_A1,9.64685568146758,0.0816282137091076,0.28498859017131,-0.687389100807984,0.491837564044816,0.995710099481803,1,Up
ATCG00180,M1_A1,13.8370027722492,-0.0298496693808421,0.294458675365428,-0.494099905318716,0.621235624743075,0.995710099481803,1,Down
ATCG00190,M1_A1,34.9137120433522,0.274682928785025,0.293917244677059,0.157294068849887,0.875013094447535,0.995710099481803,1,Up
ATCG00210,M1_A1,5.05584079910749,0.136740839760993,0.251455702546699,0.412989514418679,0.679614296102425,0.995710099481803,1,Up
ATCG00220,M1_A1,7.63000368447309,0.493537973958947,0.268835128686309,0.292154689492782,0.770168353527061,0.995710099481803,1,Up
ATCG00270,M1_A1,99.7493970983426,0.398329323608682,0.294226381613064,0.962618274899205,0.335739123034982,0.995710099481803,1,Up
ATCG00280,M1_A1,261.301224067785,0.448959374412763,0.294166391033631,1.15019815760335,0.250062264898563,0.995710099481803,1,Up
ATCG00300,M1_A1,6.71388071650268,0.272452476716557,0.270976988117253,0.0373588004867605,0.970198922170612,0.995710099481803,1,Up
ATCG00330,M1_A1,33.8050175308738,0.458658742221243,0.293808163539118,0.610173002741504,0.541747211518047,0.995710099481803,1,Up
ATCG00340,M1_A1,183.119230850256,0.136618900336098,0.294419110899732,0.330331456991799,0.74114952646847,0.995710099481803,1,Up
ATCG00350,M1_A1,208.064513594797,0.303667422375949,0.29388751110733,0.957200764345762,0.338465931352511,0.995710099481803,1,Up
ATCG00360,M1_A1,1.92597156885898,0.0581813917863502,0.220270740583007,-0.46015035404472,0.645408303019351,0.995710099481803,1,Up
ATCG00380,M1_A1,4.88041541990303,0.0964706378804205,0.222831664968146,-0.107543963175557,0.914357449964718,0.995710099481803,1,Up
ATCG00420,M1_A1,18.6377856714636,0.159601123137999,0.271543957058758,-0.291773851338271,0.770459539331835,0.995710099481803,1,Up
ATCG00430,M1_A1,34.3561845389906,0.489819618495607,0.292382077384771,0.0617671514062694,0.950748262899408,0.995710099481803,1,Up
ATCG00440,M1_A1,6.08042299652964,0.669150274286235,0.286677322526969,0.869627317287226,0.384504104175612,0.995710099481803,1,Up
ATCG00470,M1_A1,63.373066366021,0.298701166493078,0.292875290170952,0.0945504923306864,0.924671874976827,0.995710099481803,1,Up
ATCG00480,M1_A1,247.171928335397,0.214503423290097,0.291887349195326,-0.0529555983914586,0.957767285391817,0.995710099481803,1,Up
ATCG00490,M1_A1,792.346562434748,0.384229822199098,0.294483097187649,1.46340505137684,0.143356577288868,0.995710099481803,1,Up
ATCG00500,M1_A1,4.61597018791232,0.458490127551997,0.257333154731327,1.05381908484839,0.291965754076682,0.995710099481803,1,Up
ATCG00510,M1_A1,2.87943292314014,0.336448350891353,0.207311310062376,1.05686560054165,0.290572929850574,0.995710099481803,1,Up
ATMG00010,M1_A1,0.865064307575886,0.047442686930824,0.11983771931754,0.0194455542672041,0.984485670217941,0.995710099481803,1,Up
ATMG00030,M1_A1,67.3697081552768,0.19151566709543,0.29357960572953,0.952684924302077,0.340749733997179,0.995710099481803,1,Up
ATMG00040,M1_A1,27.0681790080813,-0.0595708249738598,0.295881594564452,-0.0425518191239274,0.966058803441842,0.995710099481803,1,Down
ATMG00050,M1_A1,0,0,NA,NA,NA,1,1,Insignificant
ATMG00060,M1_A1,3.26841557760845,-0.310451715895619,0.258097515852179,-0.642898410122366,0.520290021124227,0.995710099481803,1,Down
ATMG00070,M1_A1,9.46917709647083,0.0461180395660269,0.288202430076746,-0.16288030010184,0.870612681922292,0.995710099481803,1,Up
ATMG00080,M1_A1,8.98911457723992,-0.0520984879509068,0.296917422629731,-0.573445094243635,0.566343364993315,0.995710099481803,1,Down
ATMG00090,M1_A1,15.9781447377132,-0.0215050564750049,0.295204964469928,-0.857765657966499,0.39102187643488,0.995710099481803,1,Down
ATMG00110,M1_A1,8.18677445368145,0.194428626086396,0.291315934842697,0.275752162116307,0.78273842864317,0.995710099481803,1,Up
ATMG00120,M1_A1,1.04760679939825,0.0786300307727658,0.12567171810201,-0.0818009897105227,0.934804969038511,0.995710099481803,1,Up
ATMG00130,M1_A1,1.63472450994749,0.0665085781628322,0.212180611393334,1.23152098538109,0.218128072845089,0.995710099481803,1,Up
ATMG00140,M1_A1,1.99372973787839,0.040416173673855,0.21529607035563,0.399692364588544,0.689383116589795,0.995710099481803,1,Up
ATMG00150,M1_A1,0.479528264254663,-0.0099423548382161,0.0982970338046789,0.375250254723365,0.707474358402048,0.995710099481803,1,Down
ATMG00160,M1_A1,18.117185096728,-0.452528038728023,0.29645958723794,-1.51584528731398,0.129558477642125,0.995710099481803,1,Down
ATMG00170,M1_A1,5.69575891877154,0.0439196323502563,0.280740200516224,0.194973966803969,0.845413327970866,0.995710099481803,1,Up
ATMG00180,M1_A1,26.6648720147689,0.0694117270451365,0.289951071210764,0.0870762411165914,0.930610910481936,0.995710099481803,1,Up
ATMG00200,M1_A1,0.948638786542725,-0.0231290592763153,0.179507663698002,-0.199146221065464,0.84214836608236,0.995710099481803,1,Down
AT1G01010,M1_V1,145.253269048776,-0.435819994815462,0.359693015057098,-1.30426070040357,0.192144709892807,0.816615017044431,1,Down
AT1G01020,M1_V1,44.1361178217119,-0.241656109827007,0.348364510668334,-0.725614846142508,0.468074917276299,0.977243986236784,1,Down
AT1G01030,M1_V1,44.2693888494755,0.140979490414842,0.428807487082324,-0.271608804607711,0.785922828787997,0.977492804169201,1,Up
AT1G01040,M1_V1,315.304198716712,-0.0634352667547951,0.272660088954083,-0.245745140041025,0.805879526737654,0.977492804169201,1,Down
AT1G01050,M1_V1,188.677848681152,-0.449603850341093,0.350043082223597,-1.01374951246609,0.31070229178519,0.905475250345411,1,Down
AT1G01060,M1_V1,44.6025945534261,2.16211067072484,0.453568061935069,4.596490502555,4.29666549267794e-06,0.00043825988025315,1,Up
AT1G01070,M1_V1,5.20379403147454,-1.37203221843253,0.56251937940821,-2.28853821392917,0.0221061973543307,0.355878282746461,1,Down
AT1G01073,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT1G01080,M1_V1,167.124246343886,-0.138692069092904,0.370518676994697,-0.585015966957305,0.558536980653222,0.977243986236784,1,Down
AT1G01090,M1_V1,550.449354843528,-0.178557094386981,0.336616227044046,-0.57858547545071,0.562868907502763,0.977243986236784,1,Down
AT1G01100,M1_V1,644.972275980205,-0.304411270488963,0.374519325700031,-0.389102681398327,0.697200190011585,0.977243986236784,1,Down
AT1G01110,M1_V1,5.71779680583457,0.292218043871131,0.556120322172327,0.354203866245051,0.723186106337882,0.977243986236784,1,Up
AT1G01115,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT2G01008,M1_V1,67.800754409683,0.227078882867742,0.394756804233376,1.02814056209835,0.303883712814885,0.905475250345411,1,Up
